Run,Count,Cheat,Terminal,Size,Depth,Speed,Angle,Reward,Gain,From Start,To Middle,Distracted,Time,Duration,Optimal,Combined,Agent,Driver
1,1,0,0,16,1,17.3077182720,0.0754473344,0.8953003066,0.8953003066,168.9151916503,0.0142932888,1,13.6680000000,17.9260001335,0.0042819128,0.5000000000,0.0,0.5000000000
1,2,0,0,6,1,17.2791404800,0.1632423040,1.6824851372,0.7871848306,170.6706542968,0.1077335998,1,13.7700000000,17.9260001335,0.1440937984,0.5000000000,1.0,0.5000000000
1,3,0,0,6,1,17.2118949888,0.1087263616,2.5351584017,0.8526732645,172.4266662597,0.1556774079,1,13.8720000000,17.9260001335,0.3117698304,0.5000000000,1.0,0.5000000000
1,4,0,0,6,1,17.1504440320,0.0070542320,3.5248710864,0.9897126847,174.1775360107,0.1268402785,1,13.9740000000,17.9260001335,0.2076520576,0.5000000000,1.0,0.5000000000
1,5,0,0,6,1,17.1587600768,0.0997680640,4.3888152558,0.8639441693,175.9209442138,0.0392586402,1,14.0760000000,17.9260001335,0.0134725904,-1.0,-1.0,0.5000000000
1,6,0,0,6,1,16.8917502976,0.0292208992,5.3468856010,0.9580703452,177.6552581787,0.0051304497,1,14.1780000000,17.9260001335,0.1905429632,-1.0,-1.0,0.5000000000
1,7,0,0,6,1,16.8572769280,0.0964354752,6.2150605930,0.8681749920,179.3704986572,0.0303902309,1,14.2800000000,17.9260001335,0.0558078080,0.5000000000,1.0,0.5000000000
1,8,0,0,6,1,16.8115539456,0.0706191232,7.1167199008,0.9016593077,181.0861053466,0.0661063492,1,14.3820000000,17.9260001335,0.1841781760,0.5000000000,1.0,0.5000000000
1,9,0,0,6,1,16.9223518208,0.0126946960,8.0982831869,0.9815632860,182.8057403564,0.0579484291,1,14.4840000000,17.9260001335,0.1348725888,0.0,0.5000000000,0.5000000000
1,10,0,0,6,1,17.0445461280,0.0032077600,9.0935920619,0.9953088750,184.5377044677,0.0430760718,1,14.5860000000,17.9260001335,0.0242450832,0.0,0.5000000000,0.5000000000
1,11,0,0,6,1,17.1631793920,0.0054544312,10.0856284473,0.9920363853,186.2820281982,0.0258242283,1,14.6880000000,17.9260001335,0.0061263700,0.0,0.5000000000,0.5000000000
1,12,0,0,11,1,17.2793064192,0.0143174528,11.0648596105,0.9792311631,188.0382995605,0.0081787109,1,14.7900000000,17.9260001335,0.0104171960,0.0,0.5000000000,0.5000000000
1,13,0,0,11,1,17.2328987136,0.0213678336,12.0340225861,0.9691629756,189.7994995117,0.0114664714,1,14.8920000000,17.9260001335,0.0273443200,0.5000000000,0.0,0.5000000000
1,14,0,0,11,1,17.2448215552,0.0713780288,12.9346793889,0.9006568027,191.5575256347,0.0513183586,1,14.9940000000,17.9260001335,0.0408095520,0.5000000000,1.0,0.5000000000
1,15,0,0,11,1,17.1901969920,0.0215508400,13.9035824077,0.9689030188,193.3136749267,0.0371826179,1,15.0960000000,17.9260001335,0.1363219968,0.5000000000,1.0,0.5000000000
1,16,0,0,11,1,17.2074375168,0.1170820608,14.7458755102,0.8422931025,195.0634613037,0.0373209640,1,15.1980000000,17.9260001335,0.0411590720,-1.0,-1.0,0.5000000000
1,17,0,0,11,1,16.9442672640,0.0652153792,15.6547053979,0.9088298876,196.8022460937,0.0774820968,1,15.3000000000,17.9260001335,0.2236102400,-1.0,-1.0,0.5000000000
1,18,0,0,11,1,16.9080695808,0.0439456704,16.5923177445,0.9376123466,198.5215148925,0.0495768226,1,15.4020000000,17.9260001335,0.1245521920,0.5000000000,1.0,0.5000000000
1,19,0,0,11,1,16.8756752384,0.0004549306,17.5916510972,0.9993333526,200.2427520751,0.0307454429,1,15.5040000000,17.9260001335,0.0839300480,0.5000000000,1.0,0.5000000000
1,20,0,0,11,1,16.9132175360,0.0718632768,18.4916674858,0.9000163885,201.9654235839,0.0609049461,1,15.6060000000,17.9260001335,0.0008688534,-1.0,-1.0,0.5000000000
1,21,0,0,11,1,16.6474628608,0.0000369120,19.4916133789,0.9999458931,203.6754455566,0.0529703758,1,15.7080000000,17.9260001335,0.1372487552,-1.0,-1.0,0.5000000000
1,22,0,0,11,1,16.6203689472,0.1310449664,20.3168418064,0.8252284274,205.3607940673,0.0234944652,1,15.8100000000,17.9260001335,0.0000704968,0.5000000000,1.0,0.5000000000
1,23,0,0,11,1,16.5938644480,0.1090081152,21.1691629717,0.8523211653,207.0509338378,0.0886149108,1,15.9120000000,17.9260001335,0.2502774528,0.5000000000,1.0,0.5000000000
1,24,0,0,11,1,16.5851211776,0.0062923992,22.1599815343,0.9908185626,208.7437438964,0.0770589187,1,16.0140000000,17.9260001335,0.2081901568,0.5000000000,1.0,0.5000000000
1,25,0,0,11,1,16.6267261440,0.1012256192,23.0220817778,0.8621002434,210.4338226318,0.0023925781,1,16.1160000000,17.9260001335,0.0120175968,-1.0,-1.0,0.5000000000
