Simulations,Average Reward,Standard Deviation,Standard Error,Min,Max,Cheat,Terminal
10,10.63336,4.92620,1.55780,4.46642,17.58058,10,10
100,75.03611,49.06288,15.51504,19.81367,162.70334,10,10
200,315.81022,271.64954,85.90312,7.46426,943.41459,10,10
300,486.65084,362.59410,114.66232,48.78963,960.64109,8,8
400,443.35999,291.95993,92.32583,48.46513,960.87553,9,9
500,582.61884,335.95957,106.23974,78.40196,962.68648,6,6
750,533.21635,313.70282,99.20154,139.72515,959.13986,9,9
1000,506.08911,290.83858,91.97123,53.32144,957.67611,8,8
1500,654.19955,216.57475,68.48695,365.75185,958.32334,8,7
2500,717.10746,312.00102,98.66338,220.09622,966.58024,5,5
5000,883.03382,291.53319,92.19089,8.43620,981.26995,1,1
7500,982.76496,0.39807,0.12588,982.09000,983.37366,0,0
10000,864.97061,187.46366,59.28121,379.15322,988.49306,4,4
