Simulations,Average Reward,Standard Deviation,Standard Error,Min,Max,Cheat,Terminal
10,14.27647,9.27523,1.31171,3.58774,38.90581,50,50
100,132.72347,93.43339,13.21347,13.90756,368.96012,50,50
200,293.78045,250.68379,35.45204,18.21377,953.51017,49,49
300,449.49862,303.74695,42.95630,13.89484,964.77047,45,45
400,451.45645,331.02984,46.81468,20.10919,963.30433,42,42
500,370.90866,280.19562,39.62564,20.25820,962.10800,46,46
750,464.88677,339.24437,47.97640,19.12269,960.30167,42,42
1000,452.03825,321.93974,45.52915,3.84193,957.45813,41,41
1500,570.84759,335.93091,47.50780,4.68760,959.47904,35,35
2500,827.42778,284.17353,40.18820,45.29185,968.97143,13,13
5000,940.07500,186.32603,26.35047,25.88916,981.92727,4,4
7500,886.35212,288.67202,40.82438,19.07748,984.37916,5,5
10000,866.44177,314.64499,44.49752,4.88249,983.96840,6,6
