Simulations,Average Reward,Standard Deviation,Standard Error,Min,Max,Cheat,Terminal
10,25.68398,10.26461,1.45163,10.73720,51.67992,50,50
100,198.43873,161.74441,22.87411,13.48578,859.60707,50,50
200,612.45683,297.70421,42.10173,68.19015,932.88251,32,32
300,789.82118,235.00015,33.23404,49.60105,924.32617,13,13
400,852.09383,181.14183,25.61732,90.86473,944.73505,8,8
500,883.31112,181.11495,25.61352,75.18138,945.55651,4,4
750,940.02832,75.58723,10.68964,413.82801,967.86945,1,1
1000,932.31413,138.83492,21.95172,80.39593,973.53258,3,3
1500,973.87529,4.15502,0.84814,967.26790,981.22829,0,0
2500,981.71207,3.49026,0.96802,973.78223,987.06943,0,0
5000,972.27267,5.96975,0.84425,947.54556,981.54142,1,1
7500,975.85409,4.20257,0.60036,965.96112,984.64705,0,0
10000,976.89597,3.90525,0.79715,968.89882,985.27589,0,0
