Simulations,Average Reward,Standard Deviation,Standard Error,Min,Max,Cheat,Terminal
10,23.17165,8.99267,1.27175,7.44962,49.95515,50,50
100,128.18016,95.22743,13.46719,12.12260,452.10604,50,50
200,246.84659,211.92021,29.97004,18.53750,922.00089,48,48
300,434.39701,264.09593,37.34880,26.97634,930.89975,43,43
400,542.48399,289.26293,40.90795,36.08523,931.36470,38,37
500,677.18210,308.96807,43.69468,43.62924,946.33105,27,26
750,740.88177,305.38995,43.18866,22.35523,959.39017,21,20
1000,952.46443,26.74189,3.78187,770.37180,970.53384,1,1
1500,968.94743,6.08676,1.24245,957.67895,980.66875,0,0
2500,980.54256,4.05451,1.08361,973.66705,986.20894,0,0
5000,960.06921,45.97486,6.50182,673.97055,977.24926,3,3
7500,975.30885,4.75288,0.68601,963.13050,985.07920,0,0
10000,976.91791,3.07294,0.61458,969.71510,982.30296,0,0
