Simulations,Average Reward,Standard Deviation,Standard Error,Min,Max,Cheat,Terminal
10,26.73609,11.41427,1.61422,11.34708,52.76536,50,50
100,135.93235,91.32855,12.91580,18.07227,387.77336,50,50
200,243.29415,175.87679,24.87273,36.53155,917.16520,49,49
300,367.22170,295.75777,41.82646,28.81044,922.42205,42,42
400,536.13842,318.17315,44.99647,60.79099,936.66812,36,35
500,563.78587,359.58867,50.85351,46.81414,946.25896,29,29
750,883.42978,175.01652,24.75107,155.51849,967.98419,11,10
1000,928.00123,134.04431,18.95672,251.34793,971.32257,3,3
1500,972.54193,6.01869,1.22856,957.44483,983.00208,0,0
2500,981.39392,2.02849,0.56260,976.96649,983.60454,0,0
5000,973.94152,4.70287,0.66508,960.45410,983.09333,0,0
7500,976.48083,3.70055,0.54561,965.59266,982.59568,0,0
10000,977.32178,3.42109,0.69832,968.59005,984.47519,0,0
