Simulations,Average Reward,Standard Deviation,Standard Error,Min,Max,Cheat,Terminal
10,36.96604,18.41493,2.60426,12.86542,105.19790,50,50
100,309.48591,272.11798,38.48329,18.32290,987.42749,48,48
200,738.17289,317.66681,44.92487,32.51890,983.79552,27,27
300,638.51241,358.44467,50.69173,25.79811,980.50433,26,26
400,859.10555,257.88425,36.47034,82.03189,983.52674,11,11
500,791.68165,296.15496,41.88263,119.73091,984.33726,18,18
750,910.25419,216.22896,30.57939,56.64408,984.56197,6,6
1000,941.21192,144.82767,20.48172,328.97327,983.38870,5,5
1500,981.98850,1.11891,0.15823,975.74303,983.38025,0,0
2500,952.74278,147.75965,20.89637,63.26234,984.09690,2,2
5000,982.56146,0.65125,0.09210,980.71642,983.65603,0,0
7500,960.35611,111.90400,15.82561,289.16658,983.88071,2,2
10000,955.36318,120.91270,18.88339,315.70276,983.66219,2,2
