Simulations,Average Reward,Standard Deviation,Standard Error,Min,Max,Cheat,Terminal
10,37.39224,17.94402,2.53766,13.96977,106.67584,50,50
100,174.52783,143.27711,20.26244,21.36414,638.87897,50,50
200,223.65440,170.72008,24.14346,26.03246,978.92354,49,49
300,318.82620,251.32805,35.54315,28.49667,977.59351,47,47
400,420.97085,291.94280,41.28694,29.28450,982.37337,46,46
500,359.02528,265.61945,37.56426,60.37910,983.34329,47,47
750,526.37433,329.32877,46.57412,57.52768,983.08312,39,37
1000,569.86965,331.84699,46.93025,64.95466,983.24743,36,35
1500,708.81175,340.93636,48.21568,68.52304,983.46103,27,25
2500,831.28919,280.11076,39.61364,63.13022,983.18524,15,14
5000,931.74557,156.40266,22.11867,324.17122,983.54110,5,5
7500,969.59959,87.95567,12.43881,353.92432,983.12435,1,1
10000,966.94031,97.74735,14.73596,325.99117,983.56015,1,1
