Simulations,Average Reward,Standard Deviation,Standard Error,Min,Max,Cheat,Terminal
10,34.54794,15.85695,2.24251,14.67298,82.76469,50,50
100,144.02043,108.43622,15.33519,15.03452,533.39626,50,50
200,236.64817,171.48752,24.25199,24.29664,980.11485,49,49
300,289.19243,228.20025,32.27238,62.35786,979.06946,49,49
400,355.46905,245.11032,34.66383,56.74962,982.12977,48,48
500,363.22654,260.14210,36.78964,43.68328,981.73708,49,49
750,473.67382,338.89904,47.92756,59.46034,984.15120,43,42
1000,503.44970,320.73313,45.35851,92.21495,983.89903,39,39
1500,741.17857,308.45710,43.62242,68.96775,983.80820,23,23
2500,780.12741,307.26089,43.45325,109.23193,984.31552,18,17
5000,939.78129,173.74881,24.57179,122.56691,984.62702,3,3
7500,973.81106,62.59841,8.85275,535.66065,984.62293,1,1
10000,963.54205,128.41971,18.73194,92.57846,984.38436,1,1
