Simulations,Average Reward,Standard Deviation,Standard Error,Min,Max,Cheat,Terminal
10,16.14988,11.12970,1.57397,2.57315,43.51800,50,50
100,195.72447,184.99074,26.16164,4.42085,816.14411,50,50
200,681.72222,369.73131,52.28790,13.93613,959.04767,22,22
300,907.77008,207.49663,29.34445,18.93749,964.67887,4,4
400,905.03937,225.74384,31.92500,3.04966,964.89376,4,4
500,904.72651,225.63332,31.90937,3.87888,963.87661,3,3
750,901.37873,221.72536,31.35670,4.40031,960.61452,3,3
1000,937.82913,128.85402,18.22271,35.88029,958.60244,1,1
1500,957.83072,1.06966,0.15127,955.44776,960.40869,0,0
2500,947.93742,129.78567,18.35446,39.52500,969.89612,1,1
5000,903.86484,259.48294,36.69642,10.11567,982.23606,4,4
7500,867.05240,313.69281,44.36286,3.85295,984.29663,6,6
10000,939.33834,129.40069,18.30002,33.55872,960.07722,1,1
